Name,Price,Rating
Shop on eBay,$20.00,No rating
Shop on eBay,$20.00,No rating
John V. Guttag Introduction to Computation and Programming Using Pyt (Paperback),$108.70,No rating
"Art of Computer Programming, the, Volumes 1-4B, Boxed Set by Donald Knuth",$248.00,No rating
FAST SHIP Computer Systems: A Programmer's Perspective 3E By Randal E. Bryant,$37.63,3.0 out of 5 stars.
⬆️ AWS Certified Developer Associate (DVA-C02) Practice Tests Exams,$5.99,No rating
⬆️ AWS Certified Cloud Practitioner (CLF-C02) Practice Tests Exams,$5.99,No rating
"The C Programming Language by Kernighan, Brian W.",$16.97,5.0 out of 5 stars.
"C Programming Language, 2nd - Paperback, by Brian W. Kernighan; - Acceptable",$16.74,5.0 out of 5 stars.
"C Programming Language, 2nd Edition",$16.42,5.0 out of 5 stars.
⬆️ AWS Certified Machine Learning Specialty (MLS-C01) Practice Tests Exams,$5.99,No rating
⬆️ AWS Certified Developer Associate (DVA-C02) Practice Tests Exams No Answers,$2.99,No rating
OccupyTheWeb Linux Basics for Hackers (Paperback),$37.79,5.0 out of 5 stars.
Intro to Python for Computer Science and Data Science by Deitel Paperback,$31.07,No rating
Andrew Davison Killer Game Programming in Java (Paperback) (US IMPORT),$69.91,No rating
Practical Programming: An Introduction to Computer Science Using Python,$6.14,5.0 out of 5 stars.
Introduction to Computer Programming with Visual Basic 6 [With CD-ROM],$6.79,5.0 out of 5 stars.
Jalaj Thanaki Python Natural Language Processing (Digital) (UK IMPORT),$79.90,No rating
⬆️ ITIL 4 Foundation (IT Service Management) Practice Tests Exams,$5.99,No rating
⬆️ Microsoft Azure AZ-500 (Azure Security Engineer) Practice Tests Exams,$5.99,No rating
Cracking the Coding Interview: 189 Programming Questions and Solutions [Cracking,$10.34,4.5 out of 5 stars.
⬆️ Microsoft Azure AZ-900 (Microsoft Azure Fundamentals) Practice Test No Answer,$2.99,No rating
⬆️ Microsoft Azure AZ-900 (Microsoft Azure Fundamentals) Practice Tests Exams,$7.99,No rating
"New ListingGo Programming Blueprints - Second Edition by Mat Ryer (2016, Trade Paperback)",$8.00,No rating
⬆️ AWS Certified Machine Learning Specialty (MLS-C01) Practice Tests No Answers,$2.99,No rating
Analog Computing (Paperback or Softback),$74.64,No rating
New Python Programming Practice Cards for GCSE Computer Science with Python 2024,$13.65,No rating
Pragmatic Programmer & paperback,$25.99,5.0 out of 5 stars.
⬆️ Scrum Master I for PSM I Practice Tests Exams No Answers,$2.99,No rating
"Computer Programming (Made Simple Books), Maynard, Jeff",$9.36,No rating
Tarek Ziadé Michał Jaworski Expert Python Programming (Paperback),$78.56,No rating
Charlie Masterson Computer Programming (Paperback),$82.55,No rating
New ListingProgramming Tips & Techniques for the Apple II and IIe by John L. Campbell,$35.97,No rating
New ListingTristan Bunn Learn Python Visually (Paperback),$46.85,No rating
Hacking APIs: Breaking Web Application Programming Interfaces,$35.00,5.0 out of 5 stars.
"Mastering C Programming (Palgrave Master Series (Computing)), W. Arthur Chapman,",$3.09,No rating
New ListingC P a Inc Computer Programming Bible (Paperback),$21.66,No rating
"FAST SHIP - C Programming Language by Brian Kernighan, 2ND INTERNATIONAL EDITION",$18.51,5.0 out of 5 stars.
"Elements of Programming Style, Secon..., Plauger, P. J.",$25.99,5.0 out of 5 stars.
⬆️ Microsoft Azure AZ-204 (Developing Solutions for Azure) Practice Tests Exams,$5.99,No rating
New ListingCorey J. Ball Hacking APIs (Paperback),$55.84,5.0 out of 5 stars.
New ListingIntroduction to Parallel Computing,$35.07,4.5 out of 5 stars.
Analog and Hybrid Computer Programming (Paperback or Softback),$49.71,No rating
Introduction To BASIC Programming Shelly and Cashman 1982 Softcover Anaheim Book,$3.95,No rating
Marc Matthes Python Programming (Paperback),$11.34,No rating
The Makers of The MagPi magazi The Official Raspberry Pi Handbook 20 (Paperback),$26.66,No rating
New ListingProgramming & Coding IBM 709-7090-7094 Computers SHERMAN 1963 Vintage Computing,$32.30,No rating
"Computers - Programming, Manuals etc Choose from great titles Test prep, hacking",$4.00to$15.00,No rating
Andy Vickler R Programming (Paperback) R Programming (US IMPORT),$22.83,No rating
New CGP Python Programming Guide for GCSE Computer Science CGP,$12.36,No rating
⬆️ Microsoft Azure AZ-204 (Developing Solutions for Azure) Tests No Answers,$2.99,No rating
Programming Pearls (ACM Press) By Jon Bentley. 9780201657883,$17.75,No rating
"Advanced Programming in the UNIX Environment ( by Stevens, W. Richard 0201563177",$17.64,No rating
"Tricks of the Windows Game Programming Gurus [With CDROM] by LaMothe, Andre",$9.60,No rating
Code: The Hidden Language of Computer Hardware and Software by Charles Petzold,$10.24,5.0 out of 5 stars.
"Adaptive Computation and Machine Learnin Reinforcement Learning, Second Edition",$56.93,5.0 out of 5 stars.
"Programming in Visual Basic for Windows (BP), Oliver, Phil & Kantaris, Noel, Use",$3.09,No rating
Advanced Excel Formulas: Unleashing Brilliance with Excel Formulas,$31.91,No rating
"Starting Out with Python [RENTAL EDITION] - Paperback, by Tony Gaddis - Good",$117.39,No rating
Chris Strom 3D Game Programming for Kids 2e (Taschenbuch),$55.88,No rating
"Computer Programming in the Basic Language by Golden, Neal",$7.45,5.0 out of 5 stars.
Computer Numerically Controlled Part Programming By David Gibbs,$32.76,No rating
Shop on eBay,$20.00,No rating
Shop on eBay,$20.00,No rating
"The C++ Programming Language Still Available by Stroustrup, Bjarne",$5.93,5.0 out of 5 stars.
Computer Algorithms: Introduction to Design and Analysis,$7.21,3.0 out of 5 stars.
Algorithms [4th Edition],$58.86,4.5 out of 5 stars.
New ListingAssembly Language Programming for the Apple II by Robert Mottola 1982,$23.97,No rating
Python Programming for Beginners: Zero to Hero: Mastering Python Step-by-Step...,$21.95,No rating
"Python for Programmers by Harvey Deitel, Paul Deitel and Harvey Deitel (2019,...",$24.00,No rating
New ListingHewlett Packard HP-41C Owner's Handbook and Programming Guide 1982 Calculator,$30.00,No rating
Elementary Linear Programming with Applications (Computer Scienc,$24.39,No rating
"New ListingSAP Interface Programming: A comprehensive reference for RFC, BAPI, and JCo pr..",$28.95,No rating
New ListingStarting Out with Python by Tony Gaddis (WITH Student Resource Disk),$15.00,No rating
Optimizing C++ - Steve Heller,$5.22,No rating
"The Pragmatic Programmer:From Journeyman to Master, Textbook- By Hunt and Thomas",$18.29,No rating
"Computer Graphics, C Version by Hearn, Donald; Baker, M. Pauline",$6.85,5.0 out of 5 stars.
"Programming: Principles and Practice - Paperback, by Stroustrup Bjarne - Good",$20.38,5.0 out of 5 stars.
New ListingFunctional Programming in Java: Harnessing the Power Of Java 8 Lambda Expres...,$13.74,No rating
My Computer 1985 No.18 Special Feature Algorithm Programming Programming #QO9HNK,$87.28,No rating
The Art of Computer Programming ( Volume 2 - Seminumerical Algorithms ),$10.97,No rating
New ListingQbasic Brief Introduction Antoine Wennington Good 1996 Access Paperback Computer,$19.00,No rating
"COMPUTER SYSTEMS:PROGRAMMER'S PERSPECTIVE 3RD INTL ED  ""Free Ship from USA""",$42.10,3.0 out of 5 stars.
"Learning Web Design: A Beginner's Guide to HTML, CSS, JavaScript, and Web...",$7.27,4.5 out of 5 stars.
"New KS3 Computing: Python Programming Guide with Online Edition, Python Files &",$11.12,No rating
Mike McGrath C++ Programming in easy steps (Paperback) In Easy Steps (US IMPORT),$24.04,No rating
Serial Port Complete: Programming and Circuits for RS-232 and RS-485 [With Disk],$7.07,No rating
Practical Programming: An Introduction to Computer Science Using Python,$5.64,5.0 out of 5 stars.
Mike McGrath C# Programming in easy steps (Paperback) In Easy Steps,$18.54,No rating
The Makers of The MagPi magazi The Official Raspberry Pi Handbook 20 (Paperback),$26.66,No rating
New ListingVisual Basic Telephony : Using Off-the-Shelf Components to Build Windows...,$25.00,5.0 out of 5 stars.
"Unix Network Programming, Volume 1: Networking APIs - Sockets and XTI",$7.16,No rating
Advanced Programming in the UNIX Environment,$9.51,5.0 out of 5 stars.
Introduction to Programming in Java: An Interdisciplinary Approach,$5.63,5.0 out of 5 stars.
New ListingBradford Tuckfield Dive Into Algorithms (Paperback),$37.86,No rating
Chris Mccord Programming Phoenix (Paperback) (US IMPORT),$48.77,No rating
Android Smartphones For Seniors For Dummies (Paperback or Softback),$24.92,No rating
Data Structures and Algorithms in Python by Goodrich 1st ED- FREE SHIP FROM USA,$39.85,5.0 out of 5 stars.
Programming with Class: A Practical Introduction to Object-Oriented Programming,$36.24,No rating
"New ListingMicroprocessor Architecture, Programming, and Applications With the 8085",$25.59,No rating
Programming the Commodore 64 - The Definitive Guide,$43.99,No rating
New ListingStarting Out with Programming Logic and Design by Tony Gaddis (2015),$43.00,5.0 out of 5 stars.
"Java Programming for Dummies [With Includes JDK 2.0, Source Code, Tools,...",$7.45,No rating
"Adaptive Computation and Machine Learnin Reinforcement Learning, Second Edition",$56.93,5.0 out of 5 stars.
Mike McGrath C# Programming in easy steps (Paperback) In Easy Steps (US IMPORT),$23.78,No rating
⬆️ Microsoft Azure AZ-204 (Developing Solutions for Azure) Practice Tests Exams,$5.99,No rating
"JavaScript for Kids: A Playful Introduction to Programming by Morgan, Nick",$5.39,5.0 out of 5 stars.
Dark Souls: Design Works (Hardback or Cased Book),$30.69,5.0 out of 5 stars.
New ListingWindows Admin Scripting Paperback Jesse M. Torres,$3.75,No rating
Algorithmic Information Theory by G. J. Chaitin (Theoretical Computer Science),$49.00,No rating
⬆️ AWS Certified Machine Learning Specialty (MLS-C01) Practice Tests No Answers,$2.99,No rating
New ListingData Abstraction and Structures Using C++ By Mark Headington & David Riley HC,$10.00,No rating
"New ListingSecret Codes, Remainder Arithmetic And Matrices Lyman C. Peck 1961",$13.00,No rating
Programming from Specifications (Prentice Hall International Se,$17.68,No rating
New ListingVisual Basic 6 Database Programming Unused CD Included Fronckowiak & Helda,$13.99,No rating
Marc Matthes Python Programming (Paperback),$11.34,No rating
Web Programming: Building Internet Applications By Chris Bates,$22.66,No rating
"Programming Productivity: Issues for the Eighties(Tutorial Texts) Jones, Capers",$26.87,No rating
New ListingHow to Break Web Software : Functional and Security Testing of Web… With CD!!,$9.95,No rating
"New ListingPython for Data Analysis : Data Wrangling with Pandas, NumPy, and IPython 2e",$12.75,No rating
Professional VB6 Web Programming (Programmer to programmer) By T,$21.37,No rating
"The C++ Programming Language, 4th - Paperback, by Stroustrup Bjarne - Good",$61.16,5.0 out of 5 stars.
New ListingNathan Murray Ari Lerner Felipe Coury Ng-Book (Paperback),$86.72,No rating
New ListingZach Codings Computer Programming And Cyber Security for (Paperback) (US IMPORT),$44.33,No rating
